GP index,lat [deg],lon [deg]
0,39.989,-128.539
1,39.989,-128.441
2,39.989,-128.342
3,39.989,-128.244
4,39.989,-128.146
5,39.989,-128.048
6,39.989,-127.950
7,39.989,-127.851
8,39.989,-127.753
9,39.989,-127.655
10,39.989,-127.557
11,39.989,-127.459
12,39.989,-127.360
13,39.989,-127.262
14,39.989,-127.164
15,39.989,-127.066
16,39.989,-126.967
17,39.989,-126.869
18,39.989,-126.771
19,39.989,-126.673
20,39.989,-126.575
21,39.989,-126.476
22,39.989,-126.378
23,39.989,-126.280
24,39.989,-126.182
25,39.989,-126.083
26,39.989,-125.985
27,39.989,-125.887
28,39.989,-125.789
29,39.989,-125.691
30,39.989,-125.592
31,39.989,-125.494
32,39.989,-125.396
33,39.989,-125.298
34,39.989,-125.199
35,39.989,-125.101
36,39.989,-125.003
37,39.989,-124.905
38,39.989,-124.807
39,39.989,-124.708
40,39.989,-124.610
41,39.989,-124.512
42,39.989,-124.414
43,39.989,-124.315
44,39.989,-124.217
45,39.989,-124.119
46,39.989,-124.021
47,39.989,-123.923
48,39.989,-123.824
49,39.989,-123.726
50,39.989,-123.628
51,39.989,-123.530
52,39.989,-123.431
53,39.989,-123.333
54,39.989,-123.235
55,39.989,-123.137
56,39.989,-123.039
57,39.989,-122.940
58,39.989,-122.842
59,39.989,-122.744
60,39.989,-122.646
61,39.989,-122.547
62,39.989,-122.449
63,39.989,-122.351
64,39.989,-122.253
65,39.989,-122.155
66,39.989,-122.056
67,39.989,-121.958
68,39.989,-121.860
69,39.989,-121.762
70,39.989,-121.663
71,39.989,-121.565
72,39.989,-121.467
73,39.989,-121.369
74,39.989,-121.271
75,39.989,-121.172
76,39.989,-121.074
77,39.989,-120.976
78,39.989,-120.878
79,39.989,-120.780
80,39.989,-120.681
81,39.989,-120.583
82,39.989,-120.485
83,39.989,-120.387
84,39.989,-120.288
85,39.989,-120.190
86,39.989,-120.092
87,39.989,-119.994
88,39.989,-119.896
89,39.989,-119.797
90,39.989,-119.699
91,39.989,-119.601
92,39.989,-119.503
93,39.989,-119.404
94,39.989,-119.306
95,39.989,-119.208
96,39.989,-119.110
97,39.989,-119.012
98,39.989,-118.913
99,39.989,-118.815
100,39.989,-118.717
101,39.989,-118.619
102,39.989,-118.520
103,39.989,-118.422
104,39.989,-118.324
105,39.989,-118.226
106,39.989,-118.128
107,39.989,-118.029
108,39.989,-117.931
109,39.989,-117.833
110,39.989,-117.735
111,39.989,-117.636
112,39.989,-117.538
113,39.989,-117.440
114,39.989,-117.342
115,39.989,-117.244
116,39.989,-117.145
117,39.989,-117.047
118,39.989,-116.949
119,39.989,-116.851
120,39.989,-116.752
121,39.989,-116.654
122,39.989,-116.556
123,39.989,-116.458
124,39.989,-116.360
125,39.989,-116.261
126,39.989,-116.163
127,39.989,-116.065
128,39.989,-115.967
129,39.989,-115.868
130,39.989,-115.770
131,39.989,-115.672
132,39.989,-115.574
133,39.989,-115.476
134,39.989,-115.377
135,39.989,-115.279
136,39.989,-115.181
137,39.989,-115.083
138,39.989,-114.984
139,39.989,-114.886
140,39.989,-114.788
141,39.989,-114.690
142,39.989,-114.592
143,39.989,-114.493
144,39.989,-114.395
145,39.989,-114.297
146,39.989,-114.199
147,39.989,-114.101
148,39.989,-114.002
149,39.989,-113.904
150,39.989,-113.806
151,39.989,-113.708
152,39.989,-113.609
153,39.989,-113.511
154,39.989,-113.413
155,39.989,-113.315
156,39.989,-113.217
157,39.989,-113.118
158,39.989,-113.020
159,39.989,-112.922
160,39.989,-112.824
161,39.989,-112.725
162,39.989,-112.627
163,39.989,-112.529
164,39.989,-112.431
165,39.989,-112.333
166,39.989,-112.234
167,39.989,-112.136
168,39.989,-112.038
169,39.989,-111.940
170,39.989,-111.841
171,39.989,-111.743
172,39.989,-111.645
173,39.989,-111.547
174,39.989,-111.449
175,39.989,-111.350
176,39.989,-111.252
177,39.989,-111.154
178,39.989,-111.056
179,39.989,-110.957
180,39.989,-110.859
181,39.989,-110.761
182,39.989,-110.663
183,39.989,-110.565
184,39.989,-110.466
185,39.989,-110.368
186,39.989,-110.270
187,39.989,-110.172
188,39.989,-110.073
189,39.989,-109.975
190,39.989,-109.877
191,39.989,-109.779
192,39.989,-109.681
193,39.989,-109.582
194,39.989,-109.484
195,39.989,-109.386
196,39.989,-109.288
197,39.989,-109.189
198,39.989,-109.091
199,39.989,-108.993
200,39.989,-108.895
201,39.989,-108.797
202,39.989,-108.698
203,39.989,-108.600
204,39.989,-108.502
205,39.989,-108.404
206,39.989,-108.305
207,39.989,-108.207
208,39.989,-108.109
209,39.989,-108.011
210,39.989,-107.913
211,39.989,-107.814
212,39.989,-107.716
213,39.989,-107.618
214,39.989,-107.520
215,39.989,-107.422
216,39.989,-107.323
217,39.989,-107.225
218,39.989,-107.127
219,39.989,-107.029
220,39.989,-106.930
221,39.989,-106.832
222,39.989,-106.734
223,39.989,-106.636
224,39.989,-106.538
